d,T
-4.0485532032976137e-13,300.0
-2.883398711151837e-13,301.0
-1.6864674050099413e-13,302.0
-4.5958610150878494e-14,303.0
7.952278045947084e-14,304.0
2.0758307169334547e-13,305.0
3.3800072006134803e-13,306.0
4.705508793660612e-13,307.0
6.050070457641082e-13,308.0
7.411425689726064e-13,309.0
8.787269033708253e-13,310.0
1.0175238461195444e-12,311.0
1.1572871433885701e-12,312.0
1.2977559197380012e-12,313.0
1.4386500537567423e-12,314.0
1.5796658739613628e-12,315.0
1.7204724520144833e-12,316.0
1.8607086680575346e-12,317.0
1.99998112803872e-12,318.0
2.13786293404865e-12,319.0
2.2738932539254494e-12,320.0
2.4075776051063333e-12,321.0
2.538388762120426e-12,322.0
2.6657682125949707e-12,323.0
2.789128120952325e-12,324.0
2.9078538054606212e-12,325.0
3.0213067862590804e-12,326.0
3.1288285127397306e-12,327.0
3.2297449188434485e-12,328.0
3.3233719764068986e-12,329.0
3.4090224124630226e-12,330.0
3.486013719117115e-12,331.0
3.5536775102801458e-12,332.0
3.611370167754558e-12,333.0
3.65848457238044e-12,334.0
3.6944625416187555e-12,335.0
3.718807408039825e-12,336.0
3.731095989934151e-12,337.0
3.730989050769314e-12,338.0
3.718239244880551e-12,339.0
3.692695530029756e-12,340.0
3.654303118013694e-12,341.0
3.603098250747121e-12,342.0
3.539197434146045e-12,343.0
3.4627812230265335e-12,344.0
3.3740731923644987e-12,345.0
3.2733152951290595e-12,346.0
3.160741321739292e-12,347.0
3.0365505548328002e-12,348.0
2.9008838804298315e-12,349.0
2.753804513396228e-12,350.0
2.595285109867326e-12,351.0
2.4252024000733165e-12,352.0
2.2433396701883807e-12,353.0
2.049396571547109e-12,354.0
1.8430049787506733e-12,355.0
1.6237490802047271e-12,356.0
1.391187644105511e-12,357.0
1.1448764806456049e-12,358.0
8.843894700328411e-13,359.0
6.093370485335657e-13,360.0
3.193816229998962e-13,361.0
1.424990272024424e-14,362.0
-3.062574808940905e-13,363.0
-6.422584871965161e-13,364.0
-9.937836849389777e-13,365.0
-1.3607712235204816e-12,366.0
-1.7430623473169143e-12,367.0
-2.1403972046918864e-12,368.0
-2.552410851393781e-12,369.0
-2.9786294598529436e-12,370.0
-3.4184668229597225e-12,371.0
-3.871221284296712e-12,372.0
-4.336073248001268e-12,373.0
-4.812083427340841e-12,374.0
-5.298191988287394e-12,375.0
-5.793218735812539e-12,376.0
-6.29586447846878e-12,377.0
-6.804713689111494e-12,378.0
-7.318238557413503e-12,379.0
-7.834804501281398e-12,380.0
-8.352677168867051e-12,381.0
-8.870030919832824e-12,382.0
-9.384958725652157e-12,383.0
-9.89548337165421e-12,384.0
-1.0399569783469585e-11,385.0
-1.0895138235573187e-11,386.0
-1.138007813561675e-11,387.0
-1.1852262015963904e-11,388.0
-1.230955930940721e-11,389.0
-1.274984944176014e-11,390.0
-1.3171033746454958e-11,391.0
-1.3571045698807959e-11,392.0
-1.3947858985872349e-11,393.0
-1.4299492974238574e-11,394.0
-1.462401521767702e-11,395.0
-1.4919540757102496e-11,396.0
-1.5184228109315722e-11,397.0
-1.5416272010977465e-11,398.0
-1.5613893176495427e-11,399.0
-1.577532553097373e-11,400.0
-1.5898801578922298e-11,401.0
-1.5982536752598438e-11,402.0
-1.6024713732562563e-11,403.0
-1.6023467830439735e-11,404.0
-1.5976874561838725e-11,405.0
-1.588294049837799e-11,406.0
-1.5739598381025216e-11,407.0
-1.5544707295979895e-11,408.0
-1.529605848313725e-11,409.0
