d,T,t
3.3471821016334336e+16,302.942506345,450.3678132931411
5.10212294392873e+16,306.942506345,450.8678132931411
7.641505173009203e+16,310.942506345,451.3678132931411
1.1218713698759475e+17,314.942506345,451.8678132931411
1.610415359883346e+17,318.942506345,452.3678132931411
2.254110580948009e+17,322.942506345,452.8678132931411
3.068963319920722e+17,326.942506345,453.3678132931411
4.057984684677202e+17,330.942506345,453.8678132931411
5.2104266580669235e+17,334.942506345,454.3678132931411
6.506490092874957e+17,338.942506345,454.8678132931411
7.925602139078984e+17,342.942506345,455.3678132931411
9.45334559400919e+17,346.942506345,455.8678132931411
1.1082804258636759e+18,350.942506345,456.3678132931411
1.2810741765332992e+18,354.942506345,456.8678132931411
1.4633073266729288e+18,358.942506345,457.3678132931411
1.65430445639893e+18,362.942506345,457.8678132931411
1.8531567550746132e+18,366.942506345,458.3678132931411
2.0587578225523753e+18,370.942506345,458.8678132931411
2.269763274203431e+18,374.942506345,459.3678132931411
2.4845245183003525e+18,378.942506345,459.8678132931411
2.701053428522582e+18,382.942506345,460.3678132931411
2.917036292706894e+18,386.942506345,460.8678132931411
3.1298862941438935e+18,390.942506345,461.3678132931411
3.3368058471861453e+18,394.942506345,461.8678132931411
3.5348295492641423e+18,398.942506345,462.3678132931411
3.7208467074870804e+18,402.942506345,462.8678132931411
3.891641847132881e+18,406.942506345,463.3678132931411
4.0439991457592443e+18,410.942506345,463.8678132931411
4.1748796962216673e+18,414.942506345,464.3678132931411
4.281640584391164e+18,418.942506345,464.8678132931411
4.3622594432971735e+18,422.942506345,465.3678132931411
4.4155436925906944e+18,426.942506345,465.8678132931411
4.441309366031139e+18,430.942506345,466.3678132931411
4.44050523233049e+18,434.942506345,466.8678132931411
4.415247258068828e+18,438.942506345,467.3678132931411
4.3687273668735795e+18,442.942506345,467.8678132931411
4.3049742972362916e+18,446.942506345,468.3678132931411
4.2284753455651717e+18,450.942506345,468.8678132931411
4.143710907595129e+18,454.942506345,469.3678132931411
4.054691795090309e+18,458.942506345,469.8678132931411
3.964598648590713e+18,462.942506345,470.3678132931411
3.875591835531215e+18,466.942506345,470.8678132931411
3.788803710846288e+18,470.942506345,471.3678132931411
3.704473960787804e+18,474.942506345,471.8678132931411
3.622165180495708e+18,478.942506345,472.3678132931411
3.5410002969502515e+18,482.942506345,472.8678132931411
3.4598824623165604e+18,486.942506345,473.3678132931411
3.3776780997200445e+18,490.942506345,473.8678132931411
3.293358121048113e+18,494.942506345,474.3678132931411
3.20610010271676e+18,498.942506345,474.8678132931411
3.115357147671298e+18,502.942506345,475.3678132931411
3.020899314232525e+18,506.942506345,475.8678132931411
2.922832448857604e+18,510.942506345,476.3678132931411
2.8215981309911613e+18,514.942506345,476.8678132931411
2.717957732460544e+18,518.942506345,477.3678132931411
2.6129631226279526e+18,522.942506345,477.8678132931411
2.507915715530744e+18,526.942506345,478.3678132931411
2.404313901208748e+18,530.942506345,478.8678132931411
2.3037865231104737e+18,534.942506345,479.3678132931411
2.2080077195565056e+18,538.942506345,479.8678132931411
2.118587563807621e+18,542.942506345,480.3678132931411
2.0369354670621655e+18,546.942506345,480.8678132931411
1.9641011258410025e+18,550.942506345,481.3678132931411
1.9006112850641306e+18,554.942506345,481.8678132931411
1.8463368726520627e+18,558.942506345,482.3678132931411
1.80043730400648e+18,562.942506345,482.8678132931411
1.7614278170865992e+18,566.942506345,483.3678132931411
1.727393722687828e+18,570.942506345,483.8678132931411
1.696330203359535e+18,574.942506345,484.3678132931411
1.6665265245100974e+18,578.942506345,484.8678132931411
1.63686393979895e+18,582.942506345,485.3678132931411
1.6068935457438228e+18,586.942506345,485.8678132931411
1.576629583829422e+18,590.942506345,486.3678132931411
1.5461204024527053e+18,594.942506345,486.8678132931411
1.5149809923900252e+18,598.942506345,487.3678132931411
1.4821119338576343e+18,602.942506345,487.8678132931411
1.4457556855608484e+18,606.942506345,488.3678132931411
1.4038884843999683e+18,610.942506345,488.8678132931411
1.3547961379513364e+18,614.942506345,489.3678132931411
1.297606308092455e+18,618.942506345,489.8678132931411
1.2325730501143675e+18,622.942506345,490.3678132931411
1.161011738530384e+18,626.942506345,490.8678132931411
1.0849222189964227e+18,630.942506345,491.3678132931411
1.0064632841331589e+18,634.942506345,491.8678132931411
9.274963064752712e+17,638.942506345,492.3678132931411
8.493636723796429e+17,642.942506345,492.8678132931411
7.729307040025795e+17,646.942506345,493.3678132931411
6.987832424513316e+17,650.942506345,493.8678132931411
6.27424031602283e+17,654.942506345,494.3678132931411
5.593643488453069e+17,658.942506345,494.8678132931411
4.9510182885982925e+17,662.942506345,495.3678132931411
4.35039877517579e+17,666.942506345,495.8678132931411
3.794136087074271e+17,670.942506345,496.3678132931411
3.2826148809711104e+17,674.942506345,496.8678132931411
2.8145035806317005e+17,678.942506345,497.3678132931411
2.3874027789737626e+17,682.942506345,497.8678132931411
1.998665294388988e+17,686.942506345,498.3678132931411
1.646154724155143e+17,690.942506345,498.8678132931411
1.3287506655921888e+17,694.942506345,499.3678132931411
1.0464768079900544e+17,698.942506345,499.8678132931411
8.002134759723568e+16,702.942506345,500.3678132931411
5.910557388279014e+16,706.942506345,500.8678132931411
4.194839730750627e+16,710.942506345,501.3678132931411
2.8459854216663304e+16,714.942506345,501.8678132931411
1.836857616727623e+16,718.942506345,502.3678132931411
