t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
0.1,6.0576935127250024e+16,9.49577900165202e+21,1.5498699135865877e+21,1.1045709492173641e+22
0.22,5.816222282706171e+16,9.116279738549896e+21,1.9293715911339048e+21,1.1045709491906548e+22
0.364,5.582935426334922e+16,8.750239510359782e+21,2.295414151897159e+21,1.1045709491611235e+22
0.5367999999999999,5.363207824002937e+16,8.405474546384265e+21,2.64018131282166e+21,1.1045709491284205e+22
0.7441599999999999,5.16158757744425e+16,8.089121041900346e+21,2.956536833144668e+21,1.104570949092072e+22
0.9929919999999999,4.9818932180367416e+16,7.807170487378678e+21,3.238489184203556e+21,1.104570949051438e+22
1.2915903999999998,4.8269379958311096e+16,7.564037030361408e+21,3.481624190315234e+21,1.1045709490056635e+22
1.6499084799999997,4.69828844905293e+16,7.362178657432416e+21,3.683483849219316e+21,1.1045709489536233e+22
2.0798901759999997,4.596083109740552e+16,7.201812733168693e+21,3.843850794938876e+21,1.1045709488938623e+22
2.5958682111999996,4.518958835107454e+16,7.080800409905529e+21,3.964863888751546e+21,1.104570948824536e+22
3.2150418534399994,4.464149771462642e+16,6.994801907692899e+21,4.0508629382428644e+21,1.1045709487433503e+22
3.958050224127999,4.427811070173305e+16,6.937784442844684e+21,4.1078807655196477e+21,1.1045709486475069e+22
4.849660268953599,4.405555130579525e+16,6.902863623227452e+21,4.142801806557706e+21,1.1045709485336485e+22
5.919592322744318,4.3930880529890744e+16,6.883302078800439e+21,4.1623634742969673e+21,1.1045709483977906e+22
7.203510787293181,4.386761808239095e+16,6.873375846709705e+21,4.1722897680244634e+21,1.1045709482352307e+22
8.744212944751817,4.383880097544032e+16,6.868854282591907e+21,4.176811359011268e+21,1.104570948040415e+22
10.59305553370218,4.382711612891659e+16,6.86702086688322e+21,4.1786447840682563e+21,1.104570947806761e+22
12.811666640442617,4.382293108213018e+16,6.866364212413544e+21,4.1793014399196285e+21,1.10457094752643e+22
15.473999968531139,4.382161645071089e+16,6.866157942838751e+21,4.17950770744535e+21,1.1045709471900534e+22
18.668799962237365,4.382125657683635e+16,6.866101480789643e+21,4.179564165817991e+21,1.1045709467864086e+22
22.502559954684838,4.38211711964448e+16,6.866088089148708e+21,4.1795775527005114e+21,1.1045709463020374e+22
27.103071945621803,4.382115368866835e+16,6.866085348107232e+21,4.179580287947022e+21,1.104570945720793e+22
32.62368633474616,4.382115054329375e+16,6.866084861812924e+21,4.179580767269463e+21,1.104570945023301e+22
39.24842360169539,4.382114997744735e+16,6.866084781707612e+21,4.1795808390055676e+21,1.1045709441863124e+22
47.19810832203447,4.3821149788882376e+16,6.866084762535686e+21,4.1795808481337824e+21,1.1045709431819276e+22
56.737729986441366,4.382114962620342e+16,6.866084749508393e+21,4.179580849108757e+21,1.1045709419766681e+22
68.18527598372964,4.38211494379664e+16,6.8660847349703e+21,4.179580849183882e+21,1.1045709405303601e+22
81.92233118047557,4.382114921272808e+16,6.866084717626128e+21,4.1795808491726533e+21,1.1045709387947947e+22
98.40679741657067,4.382114894249402e+16,6.866084696821041e+21,4.1795808491512235e+21,1.1045709367121214e+22
118.1881568998848,4.382114861821742e+16,6.866084671855508e+21,4.1795808491250574e+21,1.1045709342129206e+22
141.92578827986176,4.382114822908698e+16,6.866084641897014e+21,4.179580849093629e+21,1.1045709312138894e+22
170.41094593583412,4.382114776213243e+16,6.866084605946947e+21,4.179580849055911e+21,1.104570927615064e+22
204.59313512300093,4.382114720178944e+16,6.866084562807027e+21,4.1795808490106493e+21,1.1045709232964899e+22
245.6117621476011,4.3821146529381144e+16,6.866084511039336e+21,4.1795808489563357e+21,1.1045709181142222e+22
294.8341145771213,4.382114572249554e+16,6.866084448918385e+21,4.1795808488911594e+21,1.1045709118955288e+22
353.90093749254555,8.65751230125587e+16,6.867376610566108e+21,4.1782454549203853e+21,1.1045708640609538e+22
368.90093749254555,1.058093838990122e+17,6.867841563728471e+21,4.1777610574972285e+21,1.1045708430609622e+22
383.90093749254555,1.2859843243985691e+17,6.868336462030969e+21,4.1772430125949743e+21,1.1045708073058437e+22
398.90093749254555,1.55463090053092e+17,6.868859942154989e+21,4.1766920678595903e+21,1.1045707473104576e+22
413.90093749254555,1.8697926827757606e+17,6.869412292494227e+21,4.1761072086514684e+21,1.1045706480413957e+22
428.90093749254555,2.2378114688197466e+17,6.869993599082757e+21,4.1754874796136506e+21,1.1045704859843312e+22
443.90093749254555,2.665643163418433e+17,6.870603691423254e+21,4.1748319924957337e+21,1.1045702248235369e+22
458.90093749254555,3.160888389499435e+17,6.871242084729201e+21,4.174139917963619e+21,1.1045698091531723e+22
473.90093749254555,3.7318220413305626e+17,6.871907892055639e+21,4.1734104800377643e+21,1.1045691554297601e+22
488.90093749254555,4.387421508453005e+17,6.872599696788797e+21,4.1726429520766294e+21,1.1045681391016264e+22
503.90093749254555,5.1373932496904755e+17,6.873315372205241e+21,4.171836653463566e+21,1.1045665764993753e+22
518.9009374925456,5.992197317803654e+17,6.874051830156732e+21,4.1709909463672606e+21,1.1045641996255734e+22
533.9009374925456,6.963069313230984e+17,6.874804675286861e+21,4.170105232027545e+21,1.1045606214245636e+22
548.9009374925456,8.062039060451817e+17,6.875567734358034e+21,4.1691789460128724e+21,1.1045552884276978e+22
563.9009374925456,9.301945026596323e+17,6.876332422076319e+21,4.168211551825445e+21,1.1045474168404393e+22
578.9009374925456,1.0696443104315735e+18,6.877086895167648e+21,4.167202532080335e+21,1.1045359071558373e+22
593.9009374925456,1.2260007814776259e+18,6.87781493537084e+21,4.1661513762819806e+21,1.1045192312434257e+22
608.9009374925456,1.4007923195800026e+18,6.878494489636072e+21,4.16505756393202e+21,1.1044952845887618e+22
623.9009374925456,1.5956259556740454e+18,6.879095782555505e+21,4.163920541340165e+21,1.1044611949851344e+22
638.9009374925456,1.812183082749608e+18,6.879578902641579e+21,4.1627396900558157e+21,1.1044130775780144e+22
653.9009374925456,2.052212531997876e+18,6.879890751702996e+21,4.1615142842936297e+21,1.104345724852863e+22
