t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
10.0,1799822195285209.5,8.421275692602071e+21,2.656206377515285e+21,1.10774838699396e+22
22.0,1659808312559491.8,7.765250337819362e+21,3.311203978242774e+21,1.107645597587048e+22
36.4,1557516419188202.5,7.286117290674127e+21,3.7896577239566574e+21,1.1075776572147129e+22
53.67999999999999,1485228736179338.8,6.947643142996511e+21,4.1277020741058985e+21,1.1075346702331107e+22
74.416,1436407122710895.0,6.719136972632673e+21,4.355936728019824e+21,1.1075075137059636e+22
99.29919999999998,1405301198487127.8,6.573619113666846e+21,4.5012665568950936e+21,1.1074887075863015e+22
129.15903999999998,1386846854530112.8,6.487346542925173e+21,4.587379517184201e+21,1.107472744695626e+22
164.99084799999997,1376771393433177.2,6.440300376385895e+21,4.6342577465006935e+21,1.1074559499657997e+22
207.98901759999995,1371751748862755.2,6.416919622447905e+21,4.657439738087447e+21,1.1074360732287087e+22
259.5868211199999,1369470437402095.0,6.406356816255956e+21,4.667760097840033e+21,1.1074118283566439e+22
321.5041853439999,1798132263053581.8,6.401163524517274e+21,4.6724783409606746e+21,1.107364366361017e+22
336.5041853439999,2323427744826804.0,6.400182622075022e+21,4.6732781745572403e+21,1.1073463120059993e+22
351.5041853439999,2980286003063400.0,6.399480905137001e+21,4.673702530704573e+21,1.107318641612757e+22
366.5041853439999,3796054991234386.0,6.39890430578778e+21,4.6738677289820294e+21,1.1072775830824766e+22
381.5041853439999,4802509033478491.0,6.39827579517409e+21,4.673908803296908e+21,1.1072189400979987e+22
396.5041853439999,6036389310883330.0,6.397476268465448e+21,4.6739019590638507e+21,1.1071384263918604e+22
411.5041853439999,7539953087030184.0,6.396436056425046e+21,4.673874759769122e+21,1.1070318356147202e+22
426.5041853439999,9361524029558718.0,6.395104581782753e+21,4.6738358507749067e+21,1.1068949794081663e+22
441.5041853439999,1.155605540994797e+16,6.39343475687858e+21,4.673788708225669e+21,1.1067235021159701e+22
456.5041853439999,1.4185705072122892e+16,6.391377990103797e+21,4.6737348142431527e+21,1.106512699005199e+22
471.5041853439999,1.7320412186319658e+16,6.388881992652574e+21,4.6736744645825994e+21,1.1062573777647384e+22
486.5041853439999,2.1038464970315292e+16,6.385889123937315e+21,4.673607317431693e+21,1.1059517479834006e+22
501.5041853439999,2.5427048154314436e+16,6.382335086881724e+21,4.673532733081956e+21,1.105589324701183e+22
516.5041853439999,3.0582757329742252e+16,6.378147952960311e+21,4.6734499123687273e+21,1.1051628448086361e+22
531.5041853439999,3.661206511807086e+16,6.373247430836772e+21,4.673357926429084e+21,1.104664196933089e+22
546.5041853439999,4.363172162263233e+16,6.367544283402891e+21,4.67325570462897e+21,1.1040843619753473e+22
561.5041853439999,5.176906890073222e+16,6.360939819891742e+21,4.6731420080497377e+21,1.1034133597010346e+22
576.5041853439999,6.116224619769231e+16,6.353325416876148e+21,4.6730153963251276e+21,1.1026401975447484e+22
591.5041853439999,7.196025940351327e+16,6.344582044063649e+21,4.672874189372438e+21,1.101752819369544e+22
