t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.5,323.14999999999895,1.1891726101640114e+17,532958358186.6618,1.1891672805804304e+17
1.05,323.14999999999895,2.4947263060191776e+17,537159441586.3047,2.494720934424762e+17
1.6550000000000002,323.14999999999895,3.927743661251986e+17,541820196404.06177,3.927738243050024e+17
2.3205000000000005,323.14999999999895,5.500289404205748e+17,546997657348.2032,5.500283934229181e+17
3.052550000000001,323.14999999999895,7.225480762785898e+17,552754520544.9523,7.225475235240698e+17
3.8578050000000013,323.14999999999895,9.11755676325101e+17,559162182927.2025,9.117551171629187e+17
4.743585500000002,323.14999999999895,1.1191945710355519e+18,566302153379.3894,1.1191940047333989e+18
5.7179440500000025,323.14999999999895,1.346532844139148e+18,574267724292.2726,1.3465322698714243e+18
6.789738455000004,323.14999999999895,1.5955694120249103e+18,583165953964.0879,1.5955688288589576e+18
7.9687123005000045,323.14999999999895,1.8682384275628004e+18,593120018729.4535,1.868237834442783e+18
9.265583530550005,323.14999999999895,2.166611943184637e+18,604272002258.757,2.166611338912636e+18
10.692141883605007,323.14999999999895,2.4929000964957317e+18,616786197000.0223,2.492899479709535e+18
12.261356071965508,323.14999999999895,2.849447867092027e+18,630852997112.2429,2.84944723623903e+18
13.98749167916206,323.14999999999895,3.2387271893103713e+18,646693459736.9357,3.238726542616915e+18
15.886240847078268,323.14999999999895,3.6633228889168937e+18,664564595779.5288,3.6633222243522995e+18
17.974864931786097,323.14999999999895,4.1259105459394657e+18,684765412258.6582,4.125909861174055e+18
20.272351424964707,323.14999999999895,4.629223989361206e+18,707643649574.349,4.629223281717561e+18
22.79958656746118,323.14999999999895,5.176009748137383e+18,733603014393.9597,5.176009014534366e+18
25.5795452242073,323.14999999999895,5.768965511035832e+18,763110467671.1418,5.768964747925364e+18
28.637499746628034,323.14999999999895,6.410659657825117e+18,796702742896.223,6.410658861122377e+18
32.00124972129084,323.14999999999895,7.103429507518886e+18,834990693848.6691,7.103428672528198e+18
35.70137469341993,323.14999999999895,7.849257535253365e+18,878659273947.0894,7.849256656594099e+18
39.77151216276192,323.14999999999895,8.649628135274098e+18,928459774615.9178,8.649627206814324e+18
44.24866337903812,323.14999999999895,9.50537266926403e+18,985191251435.2594,9.505371684072786e+18
49.173529716941935,323.14999999999895,1.0416519897981704e+19,1049664128211.8258,1.041651884831759e+19
54.59088268863613,323.14999999999895,1.1382178509244217e+19,1122645494790.272,1.1382177386598724e+19
60.549970957499745,323.14999999999895,1.2400490081123983e+19,1204784278709.5762,1.240048887633971e+19
67.10496805324972,323.14999999999895,1.3468696021712796e+19,1296525018557.1716,1.3468694725187783e+19
74.3154648585747,323.14999999999895,1.4583354350392189e+19,1398028730312.0193,1.4583352952363457e+19
82.24701134443217,323.14999999999895,1.5740714259478882e+19,1509128968811.3572,1.5740712750349918e+19
90.97171247887539,323.14999999999895,1.6937209393101881e+19,1629351621313.1558,1.6937207763750269e+19
100.56888372676293,323.14999999999895,1.816998026558941e+19,1758011406662.4697,1.8169978507578012e+19
111.12577209943923,323.14999999999895,1.9437309039329174e+19,1894368445072.381,1.9437307144960745e+19
122.73834930938317,323.14999999999895,2.073886745883944e+19,2037799192474.399,2.0738865421040255e+19
135.5121842403215,323.14999999999895,2.2075738367546483e+19,2187926206008.9375,2.207573617962029e+19
149.56340266435365,323.14999999999895,2.3450244272011076e+19,2344668066352.168,2.3450241927342993e+19
165.01974293078902,323.14999999999895,2.4865667727321797e+19,2508204877258.758,2.4865665219116925e+19
182.02171722386794,323.14999999999895,2.6325958424530993e+19,2678889089647.444,2.6325955745641927e+19
200.72388894625473,323.14999999999895,2.7835494248728412e+19,2857151056145.6914,2.7835491391577354e+19
221.2962778408802,323.14999999999895,2.9398918730157048e+19,3043442627152.6836,2.939891568671446e+19
243.92590562496824,323.14999999999895,3.10210412674264e+19,3238230301263.062,3.102103802919609e+19
268.8184961874651,323.14999999999895,3.2706775275870593e+19,3442014504659.253,3.27067718338561e+19
296.2003458062116,323.14999999999895,3.44610983204811e+19,3655342769612.4243,3.4461094665138323e+19
326.32038038683277,323.14999999999895,3.6289030286459298e+19,3878803564944.8003,3.628902640765576e+19
359.45241842551604,323.14999999999895,3.819562972274038e+19,4113009016968.886,3.81956256097314e+19
395.8976602680677,323.14999999999895,4.0186005990108135e+19,4358580247640.8535,4.01860016315279e+19
435.98742629487447,323.14999999999895,4.226534178328811e+19,4616141992946.923,4.2265337167146164e+19
480.08616892436197,323.14999999999895,4.443892016621285e+19,4886325244525.53,4.443891527988764e+19
528.5947858167982,323.14999999999895,4.671215197134449e+19,5169773639860.316,4.671214680157086e+19
581.9542643984781,323.14999999999895,4.9090601587204375e+19,5467150176840.517,4.909059612005417e+19
640.649690838326,323.14999999999895,5.15800107151287e+19,5779142738666.019,5.158000493598596e+19
705.2146599221587,323.14999999999895,5.418632042378917e+19,6106468267320.44,5.418631431732093e+19
776.2361259143746,323.14999999999895,5.691569203267056e+19,6449875956943.383,5.6915685582794605e+19
854.3597385058122,323.14999999999895,5.97745273173194e+19,6810149876781.393,5.977452050716956e+19
940.2957123563934,323.14999999999895,6.276948842556437e+19,7188111309441.523,6.276948123745313e+19
1034.8252835920327,323.14999999999895,6.590751778668104e+19,7584620969657.059,6.5907510202060095e+19
1138.807811951236,323.14999999999895,6.9195858195779125e+19,8000581192882.862,6.919585019519798e+19
1253.1885931463598,323.14999999999895,7.264207316796123e+19,8436938143421.156,7.264206473102314e+19
1379.0074524609959,323.14999999999895,7.625406759228506e+19,8894684072568.305,7.625405869760102e+19
1517.4081977070955,323.14999999999895,8.00401086873822e+19,9374859647711.932,8.004009931252258e+19
1669.6490174778053,323.14999999999895,8.400884733510538e+19,9878556167320.447,8.400883745654925e+19
1837.113919225586,323.14999999999895,8.816933954535927e+19,10406918889957.455,8.816932913844047e+19
2021.3253111481447,323.14999999999895,9.253106877241436e+19,10961148410604.506,9.25310578112659e+19
2223.9578422629593,323.14999999999895,9.7103968660827e+19,11542504244963.3,9.71039571183228e+19
2446.8536264892555,323.14999999999895,1.018984466347943e+20,12152307509784.01,1.0189843448248689e+20
2692.038989138181,323.14999999999895,1.0692540846003157e+20,12791943909371.035,1.0692539566808769e+20
2961.742888051999,323.14999999999895,1.1219628387961882e+20,13462866881362.385,1.1219627041675192e+20
3258.4171768571996,323.14999999999895,1.17723053389821e+20,14166600898861.135,1.1772303922322014e+20
3584.7588945429197,323.14999999999895,1.2351827619845076e+20,14904744932887.14,1.2351826129370589e+20
3943.734783997212,323.14999999999895,1.295951194022889e+20,15678976083209.291,1.295951037233128e+20
4338.608262396934,323.14999999999895,1.3596738842965172e+20,16491053386507.068,1.3596737193859829e+20
4772.969088636628,323.14999999999895,1.4264955881202005e+20,17342821810915.3,1.4264954146919835e+20
5250.765997500291,323.14999999999895,1.4965680936662683e+20,18236216446194.023,1.4965679113041042e+20
5776.34259725032,323.14999999999895,1.570050568848969e+20,19173266899095.332,1.5700503771163014e+20
6354.476856975352,323.14999999999895,1.6471099242833763e+20,20156101903912.445,1.6471097227223584e+20
6990.4245426728885,323.14999999999895,1.7279211933529922e+20,21186954158655.7,1.7279209814834512e+20
7689.966996940178,323.14999999999895,1.8126679304143864e+20,22268165397794.89,1.8126677077327305e+20
8459.463696634197,323.14999999999895,1.9015426281587524e+20,23402191713030.42,1.9015423941368378e+20
9305.910066297618,323.14999999999895,1.9947471551520185e+20,24591609134110.68,1.9947469092359258e+20
10237.00107292738,323.14999999999895,2.0924932145913312e+20,25839119482298.56,2.092492956200139e+20
11261.20118022012,323.14999999999895,2.195002825345401e+20,27147556509708.96,2.195002553869836e+20
12387.821298242132,323.14999999999895,2.3025088263861266e+20,28519892338392.336,2.302508541187203e+20
13627.103428066346,323.14999999999895,2.4152554057665148e+20,29959244213725.113,2.4152551061740746e+20
14990.313770872983,323.14999999999895,2.53349865535257e+20,31468881587390.85,2.533498340663754e+20
16489.84514796028,323.14999999999895,2.6575071525738355e+20,33052233545994.184,2.6575068220515012e+20
18139.32966275631,323.14999999999895,2.787562570517648e+20,34712896602143.25,2.7875622233886828e+20
19953.762629031942,323.14999999999895,2.9239603177559284e+20,36454642865670.61,2.923959953209501e+20
21949.638891935138,323.14999999999895,3.067010209360398e+20,38281428613535.33,3.06700982654611e+20
24145.102781128655,323.14999999999895,3.2170371706325887e+20,40197403277861.83,3.217036768658559e+20
26560.113059241525,323.14999999999895,3.374381975148966e+20,42206918872529.57,3.374381553079784e+20
29216.62436516568,323.14999999999895,3.5394020187992365e+20,44314539879728.48,3.539401575653832e+20
32138.786801682254,323.14999999999895,3.712472131577227e+20,46525053618944.9,3.71247166632669e+20
35353.16548185048,323.14999999999895,3.893985428969538e+20,48843481121942.94,3.89398494053473e+20
38888.982030035535,323.14999999999895,4.084354204876729e+20,51275088538456.875,4.0843536921258426e+20
42778.38023303909,323.14999999999895,4.284010868095848e+20,53825399098517.03,4.284010329841859e+20
47056.718256343,323.14999999999895,4.493408924492368e+20,56500205658597.23,4.4934083594903087e+20
51762.89008197731,323.14999999999895,4.7130240070926316e+20,59305583860097.65,4.713023414036795e+20
56939.67909017505,323.14999999999895,4.943354956437252e+20,62247905930065.734,4.943354333958196e+20
62634.14699919256,323.14999999999895,5.184924953649461e+20,65333855155518.81,5.184924300310909e+20
68898.06169911183,323.14999999999895,5.4382827087924134e+20,68570441064256.984,5.438282023088007e+20
75788.36786902302,323.14999999999895,5.704003707214861e+20,71965015346660.5,5.704002987564706e+20
83367.70465592532,323.14999999999895,5.982691516716181e+20,75525288554649.08,5.982690761463292e+20
91704.97512151787,323.14999999999895,6.274979158500071e+20,79259347615738.8,6.274978365906599e+20
100875.97263366966,323.14999999999895,6.581530545030836e+20,83175674201989.44,6.5815297132741e+20
110964.06989703664,323.14999999999895,6.903041988058318e+20,87283163995571.25,6.90304111522667e+20
122060.9768867403,323.14999999999895,7.240243780236719e+20,91591146894716.56,7.24024286432524e+20
134267.57457541436,323.14999999999895,7.593901853929948e+20,96109408205956.47,7.593900892835874e+20
147694.8320329558,323.14999999999895,7.964819520971276e+20,100848210870783.48,7.964818512489179e+20
162464.8152362514,323.14999999999895,8.353839297328835e+20,105818318777231.17,8.353838239145645e+20
178711.79675987654,323.14999999999895,8.761844816821704e+20,111031021209316.89,8.761843706511494e+20
196583.47643586423,323.14999999999895,9.189762838233329e+20,116498158489894.75,9.189761673251755e+20
216242.3240794507,323.14999999999895,9.638565350381263e+20,122232148875151.17,9.638564128059779e+20
237867.05648739578,323.14999999999895,1.0109271779924873e+21,128246016761548.28,1.010927049746471e+21
261654.26213613537,323.14999999999895,1.0602951306945769e+21,134553422253540.6,1.0602949961411549e+21
287820.1883497489,323.14999999999895,1.112072529456999e+21,141168691475661.4,1.1120723882883075e+21
316602.7071847238,323.14999999999895,1.1663769879623303e+21,148106823832999.53,1.166376839855505e+21
348263.47790319624,299.9999999999999,1.1452918659999371e+21,13627082711447.201,1.1452918523728546e+21
377045.99673817115,299.9999999999999,1.1339548825761441e+21,11529905338600.713,1.1339548710462376e+21
408706.7674566436,299.9999999999999,1.1248637798128825e+21,10164509946641.693,1.1248637696483734e+21
419733.3333333333,300.00000000018963,1.1219732887454312e+21,9788676044462.08,1.121973278956755e+21
419763.3333333333,305.00000000018764,1.1219584499092993e+21,15129299748525.322,1.12195843478e+21
419793.3333333333,310.00000000018935,1.121931029631284e+21,23053773932665.715,1.1219310065775107e+21
419823.3333333333,315.00000000018844,1.1218813749022192e+21,34652157316314.273,1.1218813402500609e+21
419853.3333333333,320.0000000001912,1.1217932204599017e+21,51400330436528.25,1.1217931690595734e+21
419883.3333333333,325.0000000001894,1.1216397792090608e+21,75258590314641.69,1.121639703950468e+21
419913.3333333333,330.00000000018895,1.1213780469728501e+21,108768269299665.17,1.1213779382045812e+21
419943.3333333333,335.0000000001878,1.1209410165066288e+21,155116425115546.03,1.1209408613902055e+21
419973.3333333333,340.00000000018895,1.1202280043443685e+21,218110374030572.16,1.1202277862339952e+21
420003.3333333333,345.00000000018974,1.1190943872708545e+21,301967651029014.3,1.1190940853032042e+21
420033.3333333333,350.000000000192,1.1173437042481786e+21,410806421032183.3,1.1173432934417577e+21
420063.3333333333,355.0000000001891,1.1147265592610921e+21,547774047479650.75,1.1147260114870454e+21
420093.3333333333,360.0000000001868,1.1109502667484669e+21,713945947756301.4,1.1109495528025197e+21
420123.3333333333,365.000000000189,1.1056991580812403e+21,907429362025012.4,1.105698250651877e+21
420153.3333333333,370.0000000001907,1.0986596653746578e+21,1123262108036772.6,1.0986585421125486e+21
420183.3333333333,375.0000000001921,1.0895417604893498e+21,1354395911233295.5,1.0895404060934386e+21
420213.3333333333,380.0000000001869,1.0780915644840837e+21,1593401195261424.5,1.0780899710828889e+21
420243.3333333333,385.0000000001907,1.0640955945826345e+21,1834099713929026.5,1.0640937604829217e+21
420273.3333333333,390.0000000001865,1.0473805366404777e+21,2072495966713715.0,1.047378464144511e+21
420303.3333333333,395.0000000001884,1.027812501134571e+21,2306851522754801.5,1.0278101942830469e+21
420333.3333333333,400.0000000001916,1.0052981044066965e+21,2536924944373783.5,1.0052955674817529e+21
420363.3333333333,405.0000000001923,9.797881506110512e+20,2762188347865397.0,9.797853884227039e+20
420393.3333333333,410.0000000001887,9.512840276289875e+20,2980035737228995.5,9.512810475932506e+20
420423.3333333333,415.00000000018605,9.198473094895874e+20,3187466814358177.5,9.198441220227727e+20
420453.3333333333,420.0000000001869,8.856134599849483e+20,3386313668107484.0,8.856100736712787e+20
420483.3333333333,425.00000000019037,8.48808798947336e+20,3586683151233049.0,8.488052122641852e+20
420513.3333333333,430.0000000001925,8.097650455525704e+20,3805584658185940.5,8.097612399679124e+20
420543.3333333333,435.00000000019304,7.689200914379312e+20,4061489341835857.0,7.689160299485896e+20
420573.3333333333,440.0000000001854,7.267916343777496e+20,4366681416376344.5,7.267872676963332e+20
420603.3333333333,445.00000000018525,6.839164308241276e+20,4720530777432371.0,6.839117102933504e+20
420633.3333333333,450.0000000001879,6.407654642083686e+20,5108031751670074.0,6.407603561766173e+20
420663.3333333333,455.000000000192,5.97671413878802e+20,5505946415512159.0,5.976659079323859e+20
420693.3333333333,460.0000000001919,5.548213805703576e+20,5893537376351666.0,5.548154870329816e+20
420723.3333333333,465.00000000018815,5.123456071698898e+20,6261188971917506.0,5.123393459809178e+20
420753.3333333333,470.00000000018593,4.7046604092302924e+20,6612103579268038.0,4.704594288194498e+20
420783.3333333333,475.00000000018645,4.296061420561299e+20,6957385299793593.0,4.2959918467083e+20
420813.3333333333,480.00000000018997,3.903721806765009e+20,7308542462874744.0,3.9036487213403826e+20
420843.3333333333,485.0000000001933,3.53401017498599e+20,7671932144167023.0,3.53393345566455e+20
420873.3333333333,490.0000000001934,3.191623683323744e+20,8047505764105675.0,3.1915432082661016e+20
