t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
0.5,-1.801022096011595e+19,-1.801022096011595e+19,14776062442278.225,7.093076067469549e+17,0.0,3.00648640845869e+18
0.9545454545454546,-2.0578077131540808e+19,-2.0578077131540808e+19,23816331112239.93,1.0775382946292959e+18,5560880136910024.0,4.572416479542628e+18
1.3677685950413223,-2.152136528078859e+19,-2.152136528078859e+19,30830472446201.07,1.3200531958193042e+18,1.1373568584183968e+16,5.606112307249942e+18
1.7434259954921112,-2.1937069162925367e+19,-2.1937069162925367e+19,36200768257942.21,1.503623940896994e+18,1.6761445330078312e+16,6.389595913542029e+18
2.156649135987979,-2.2196223983555826e+19,-2.2196223983555826e+19,41128095140869.66,1.680309119830947e+18,2.27112382629064e+16,7.144254712909089e+18
2.6111945905334335,-2.2383986598656758e+19,-2.2383986598656758e+19,45868784271681.2,1.8545560558623982e+18,2.9263581348135556e+16,7.888945880794101e+18
3.1111945905334335,-2.2532284457256042e+19,-2.2532284457256042e+19,50561829575232.37,2.028748234514501e+18,3.64747870309421e+16,8.633869720671674e+18
3.6611945905334338,-2.2655142914612797e+19,-2.2655142914612797e+19,55281097535665.04,2.2044166183597645e+18,4.440915501786329e+16,9.385626474143945e+18
4.266194590533434,-2.275984947755608e+19,-2.275984947755608e+19,60068087368067.91,2.382695790416845e+18,5.3138068596386376e+16,1.0149124730058084e+19
4.931694590533434,-2.2850782398672323e+19,-2.2850782398672323e+19,64950025470389.016,2.564510094666919e+18,6.2740296758773016e+16,1.092837113908745e+19
5.663744590533434,-2.293086328926837e+19,-2.293086328926837e+19,69948362678923.375,2.7506576353732695e+18,7.330258087368864e+16,1.1726834348664842e+19
6.468999590533435,-2.3002171561788207e+19,-2.3002171561788207e+19,75082032057952.72,2.941854664003047e+18,8.492034664037314e+16,1.2547639542213945e+19
7.354780090533435,-2.306624580129956e+19,-2.306624580129956e+19,80368592344743.2,3.1387631283709517e+18,9.769851174845448e+16,1.3393688817056217e+19
8.329138640533436,-2.3124255427099107e+19,-2.3124255427099107e+19,85824730676979.48,3.3420095727674086e+18,1.1175238537910195e+17,1.4267743216994148e+19
9.400933045533437,-2.31771086102603e+19,-2.31771086102603e+19,91466586825930.78,3.552198770906636e+18,1.272086630391741e+17,1.5172481751827655e+19
