# Experimental points digitised from Fig. 4 of Fuerst, Taylor & Shimada,
# IEEE Trans. Plasma Sci. 52 (2024) 3925, doi:10.1109/TPS.2024.3356857.
# Produced by digitise_fig4.py from the published PDF. 3.95% D2 in He.
# Feed rates are snapped to the 100 sccm steps the campaign used; the
# ordinate is good to about +/- 0.05 sccm, the size of a marker.
# Points are missing where markers of different pressures overlap.
temperature_K,total_pressure_Pa,feed_sccm,permeated_sccm
573.15,90000,100,1.617
573.15,90000,200,2.176
573.15,90000,300,2.375
573.15,90000,400,2.377
573.15,90000,500,2.422
573.15,90000,600,2.422
573.15,90000,700,2.424
573.15,150000,200,4.992
573.15,150000,300,5.404
573.15,150000,400,5.702
573.15,150000,500,5.880
573.15,150000,600,5.799
573.15,190000,100,2.571
573.15,190000,200,4.177
573.15,190000,400,5.060
573.15,190000,500,5.209
573.15,190000,600,5.283
573.15,190000,700,5.295
573.15,250000,300,6.081
573.15,250000,400,6.625
573.15,250000,500,6.934
573.15,250000,600,7.152
573.15,250000,700,7.246
573.15,250000,800,7.342
573.15,250000,900,7.438
573.15,250000,1000,7.340
623.15,90000,100,2.076
623.15,90000,200,2.839
623.15,90000,300,2.937
623.15,90000,400,3.234
623.15,90000,500,3.050
623.15,150000,100,3.075
623.15,150000,200,4.063
623.15,150000,300,4.834
623.15,150000,400,4.935
623.15,150000,500,5.034
623.15,190000,200,4.759
623.15,190000,300,5.375
623.15,190000,400,5.527
623.15,190000,500,5.793
623.15,190000,600,5.944
623.15,250000,200,5.604
623.15,250000,300,6.571
623.15,250000,400,7.147
623.15,250000,500,7.529
623.15,250000,600,7.632
623.15,250000,700,7.691
673.15,90000,100,3.335
673.15,90000,200,4.008
673.15,90000,300,4.294
673.15,90000,400,4.392
673.15,90000,500,4.517
673.15,90000,600,4.582
673.15,150000,200,4.507
673.15,150000,300,5.129
673.15,150000,400,5.430
673.15,150000,500,5.659
673.15,150000,600,5.715
673.15,150000,700,5.892
673.15,150000,800,5.979
673.15,190000,200,5.410
673.15,190000,400,7.144
673.15,190000,500,7.563
673.15,190000,600,7.668
673.15,190000,700,7.775
673.15,190000,800,7.822
673.15,190000,900,7.863
673.15,250000,200,6.312
673.15,250000,300,7.897
673.15,250000,400,8.483
673.15,250000,500,9.087
673.15,250000,600,9.548
673.15,250000,700,9.435
673.15,250000,800,9.847
673.15,250000,900,9.704
673.15,250000,1000,9.894
723.15,90000,100,3.194
723.15,90000,200,4.186
723.15,90000,300,4.676
723.15,90000,400,5.006
723.15,90000,500,4.964
723.15,90000,600,4.931
723.15,150000,200,5.439
723.15,150000,400,6.963
723.15,150000,500,7.060
723.15,150000,600,7.376
723.15,150000,700,7.014
723.15,190000,300,6.942
723.15,190000,400,7.823
723.15,190000,500,7.982
723.15,190000,600,8.332
723.15,190000,700,8.126
723.15,250000,100,3.903
723.15,250000,200,7.089
723.15,250000,300,8.655
723.15,250000,400,9.331
723.15,250000,500,10.153
723.15,250000,600,10.453
723.15,250000,700,10.578
723.15,250000,800,10.421
723.15,250000,900,10.227
723.15,250000,1000,9.917
