750_0001,,1000_0001,,1250_0001,,750_0001b,,1000_0001b,,1250_0001b,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-2.104083999919534e-11,1689028047694760000,1.0113270504820974e-10,3483024269348991000,1.7089697205478307e-10,4453542057362632700,1.1503635675234867e-10,1846564127340540000,7.702398610132117e-11,2430598973980037000,1.1603752650639555e-10,2356528528200919000
-4.1496751359973135e-12,1438684252607914000,1.0919342729656271e-10,3224705331829033000,1.161401180348179e-10,4097904357627685000,1.2774278225449626e-11,1620463051660341200,-1.6861258721900602e-11,2168581917818998800,7.081931827100293e-11,2154336937034219500
2.392336852223122e-10,2125076097923305500,4.5388446343687475e-11,2918499685822714000,1.5680440231337713e-10,3868887650063278000,7.834793237592072e-11,1364242411086110700,1.8493385553877666e-10,1971600423174639600,2.960829767760455e-11,1957098741552697300
4.008867854318738e-10,2506939759782424600,2.1714948310500563e-10,4333574650398550000,1.3750903509288268e-10,3579666886998790000,9.035923274178296e-11,1245194524333936600,2.2325938631142823e-10,2653600908541550600,-2.6113982927181642e-11,1824189009593602000
5.621465457291977e-10,2602004272834255000,1.1936696792613632e-10,2723346975173310500,1.4670914267190804e-10,3311982478647838700,3.101186164092977e-10,2302629562444329000,4.084134856672969e-10,2878746699514280000,3.2916726734532104e-12,1631165305468522500
7.03347122948817e-10,3142583496006965000,2.9870811410807893e-10,3904460084726296600,9.295532744496041e-12,3128746883185950700,3.962876703342751e-10,2067607813393000400,3.8109927140229666e-10,2245695615574564900,1.7622417280183507e-10,2643639383517231000
8.723596746646978e-10,3381426763934589000,2.9558882587980444e-10,3512365554432192500,2.116608504657907e-10,4830435136844654000,3.245189267429317e-10,1782228001106550800,3.412491803094163e-10,1819821264006017000,2.0934745981111885e-10,2956321801972900000
1.042054816108912e-9,3350037077955035000,5.324709800543e-10,4805693713476566000,2.705807392220872e-10,5115975498338656000,2.5845996752717254e-10,1487029701078184000,4.924600217042132e-10,3316783051442649000,3.454727939415225e-10,3144736932432881700
1.106720290366139e-9,4001763054157426700,4.723484921486931e-10,4368986638914195500,3.8727518421152595e-10,5543087923166305000,4.706021369873892e-10,2637375116819241000,5.315079226809521e-10,3086237603059296000,4.314456809302572e-10,2807039044762296300
